|A|B|C|D|E|F|G|H|I|
| 144799 |         poprun         |  19s   |   janel    | 44 | 1330MHz  | 36.6 C | 27.1 C |134.9 W |
| 144799 |         poprun         |  19s   |   janel    | 48 | 1330MHz  | 35.1 C | 27.0 C |138.3 W |
| 144799 |         poprun         |  19s   |   janel    | 52 | 1330MHz  | 36.3 C | 26.7 C |136.9 W |
| 144799 |         poprun         |  19s   |   janel    | 56 | 1330MHz  | 35.2 C | 26.8 C |129.0 W |
| 144799 |         poprun         |  19s   |   janel    | 60 | 1330MHz  | 36.3 C | 27.5 C |144.3 W |
| 145965 |         python         | 1m23s  |   janel    | 0  | 1330MHz  | 33.7 C | 26.9 C |130.0 W |
| 145971 |         python         | 1m23s  |   janel    | 4  | 1330MHz  | 36.6 C | 26.9 C |131.9 W |
| 145975 |         python         | 1m23s  |   janel    | 8  | 1330MHz  | 33.6 C | 26.9 C |138.1 W |
| 145984 |         python         | 1m22s  |   janel    | 14 | 1330MHz  | 38.0 C | 27.0 C |137.6 W |
| 145965 |         python         | 1m25s  |   janel    | 0  | 1330MHz  | 33.6 C | 26.8 C |129.9 W |
| 145971 |         python         | 1m25s  |   janel    | 4  | 1330MHz  | 36.4 C | 26.9 C |132.2 W |
| 145975 |         python         | 1m24s  |   janel    | 8  | 1330MHz  | 33.4 C | 26.9 C |138.4 W |
| 145982 |         python         | 1m24s  |   janel    | 12 | 1330MHz  | 35.1 C | 27.0 C |136.8 W |
| 145965 |         python         | 1m27s  |   janel    | 0  | 1330MHz  | 33.7 C | 26.9 C |130.3 W |
| 145971 |         python         | 1m27s  |   janel    | 4  | 1330MHz  | 36.6 C | 26.9 C |131.7 W |
| 145975 |         python         | 1m27s  |   janel    | 8  | 1330MHz  | 33.3 C | 26.9 C |138.3 W |
| 145982 |         python         | 1m27s  |   janel    | 12 | 1330MHz  | 35.1 C | 27.0 C |136.4 W |
| 145965 |         python         | 1m27s  |   janel    | 0  | 1330MHz  | 33.6 C | 26.8 C |129.9 W |
| 145971 |         python         | 1m27s  |   janel    | 4  | 1330MHz  | 36.6 C | 26.9 C |131.2 W |
| 145975 |         python         | 1m27s  |   janel    | 8  | 1330MHz  | 33.4 C | 26.9 C |138.4 W |
| 145982 |         python         | 1m27s  |   janel    | 12 | 1330MHz  | 34.9 C | 27.0 C |137.2 W |
| 145965 |         python         | 1m30s  |   janel    | 0  | 1330MHz  | 33.6 C | 26.8 C |130.1 W |
| 145971 |         python         | 1m30s  |   janel    | 4  | 1330MHz  | 36.6 C | 26.9 C |131.6 W |
| 145975 |         python         | 1m30s  |   janel    | 8  | 1330MHz  | 33.3 C | 26.9 C |142.5 W |
| 145982 |         python         | 1m30s  |   janel    | 12 | 1330MHz  | 34.9 C | 27.0 C |137.0 W |
| 145965 |         python         | 1m32s  |   janel    | 0  | 1330MHz  | 33.7 C | 26.8 C |130.1 W |
| 145971 |         python         | 1m32s  |   janel    | 4  | 1330MHz  | 36.7 C | 26.9 C |131.5 W |
| 145975 |         python         | 1m32s  |   janel    | 8  | 1330MHz  | 33.6 C | 26.9 C |146.8 W |
| 145982 |         python         | 1m32s  |   janel    | 12 | 1330MHz  | 34.9 C | 27.0 C |136.7 W |
| 145965 |         python         | 1m32s  |   janel    | 0  | 1330MHz  | 33.7 C | 26.9 C |130.1 W |
| 145971 |         python         | 1m32s  |   janel    | 4  | 1330MHz  | 36.6 C | 26.9 C |131.0 W |
| 145975 |         python         | 1m32s  |   janel    | 8  | 1330MHz  | 33.6 C | 26.9 C |146.8 W |
| 145982 |         python         | 1m32s  |   janel    | 12 | 1330MHz  | 34.9 C | 27.0 C |136.4 W |
| 145965 |         python         | 1m35s  |   janel    | 0  | 1330MHz  | 33.7 C | 26.8 C |137.6 W |
| 145971 |         python         | 1m35s  |   janel    | 4  | 1330MHz  | 36.6 C | 26.9 C |139.5 W |
| 145975 |         python         | 1m35s  |   janel    | 8  | 1330MHz  | 33.6 C | 26.9 C |146.4 W |
| 145982 |         python         | 1m35s  |   janel    | 12 | 1330MHz  | 34.9 C | 27.0 C |136.9 W |
| 145965 |         python         | 1m35s  |   janel    | 0  | 1330MHz  | 33.6 C | 26.8 C |153.4 W |
| 145971 |         python         | 1m35s  |   janel    | 4  | 1330MHz  | 36.9 C | 26.9 C |155.8 W |
| 145975 |         python         | 1m35s  |   janel    | 8  | 1330MHz  | 33.6 C | 26.9 C |161.8 W |
| 145982 |         python         | 1m36s  |   janel    | 12 | 1330MHz  | 35.1 C | 27.0 C |146.6 W |
| 145965 |         python         | 1m38s  |   janel    | 0  | 1330MHz  | 33.8 C | 26.8 C |161.8 W |
| 145971 |         python         | 1m37s  |   janel    | 4  | 1330MHz  | 37.0 C | 26.9 C |235.3 W |
| 145975 |         python         | 1m37s  |   janel    | 8  | 1330MHz  | 33.8 C | 26.9 C |309.6 W |
| 145982 |         python         | 1m37s  |   janel    | 12 | 1330MHz  | 35.4 C | 27.0 C |226.9 W |
